shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauenhaus Hanau,2055,50.121842157395,8.93035691488,Main-Kinzig-Kreis,Landkreis,DE719,DE7,Hessen
AWO Frauenhaus Schwalm-Eder,2104,51.030353699843,9.41785004983,Schwalm-Eder-Kreis,Landkreis,DE735,DE7,Hessen
Frauenhaus Kassel,2165,51.273161334306,9.466445816736,Kassel,Kreisfreie Stadt,DE731,DE7,Hessen
"Frauenhaus, Beratungs- und Interventionsstelle Limburg",2036,50.387426446735,8.064561329702,Limburg-Weilburg,Landkreis,DE723,DE7,Hessen
Autonomes Frauenhaus Marburg,2025,50.8117327,8.7757742,Marburg-Biedenkopf,Landkreis,DE724,DE7,Hessen
Frauenhaus Oberursel,2214,50.203012037124,8.578525319621999,Hochtaunuskreis,Landkreis,DE718,DE7,Hessen
Frauen- und Kinderhaus Offenbach,2077,50.104010086859,8.76674981179,Offenbach am Main,Kreisfreie Stadt,DE713,DE7,Hessen
Frauenhaus Rodgau,2166,50.021737483593,8.882036802864,Offenbach,Landkreis,DE71C,DE7,Hessen
Autonomes Frauenhaus,2170,50.25418357165,9.295718601627,Main-Kinzig-Kreis,Landkreis,DE719,DE7,Hessen
Frauenhaus Wetzlar e.V.,2208,50.559625165351,8.499134628186,Lahn-Dill-Kreis,Landkreis,DE722,DE7,Hessen
AWO Frauenhaus Nurdan-Eker Wiesbaden,2312,50.092145133904,8.233820739889,Wiesbaden,Kreisfreie Stadt,DE714,DE7,Hessen
Haus für Frauen in Not Wiesbaden,2158,50.077813921273,8.236045029311,Wiesbaden,Kreisfreie Stadt,DE714,DE7,Hessen
Frauenhaus,2407,49.9194456,8.4852426,Groß-Gerau,Landkreis,DE717,DE7,Hessen
Frauenhaus Bad Kreuznach,2053,49.8428494,7.8667379,Bad Kreuznach,Landkreis,DEB14,DEB,Rheinland-Pfalz
Frauenhaus Frankenthal,2123,49.5377072,8.3560768,Frankenthal (Pfalz),Kreisfreie Stadt,DEB31,DEB,Rheinland-Pfalz
Frauenhaus Idar-Oberstein,2183,49.699458006547,7.321442009631,Birkenfeld,Landkreis,DEB15,DEB,Rheinland-Pfalz
Frauenzuflucht Kaiserslautern,2236,49.44167141989,7.76806020992,Kaiserslautern,Kreisfreie Stadt,DEB32,DEB,Rheinland-Pfalz
Frauenhaus Donnersbergkreis,2221,49.6669591,7.9801167,Donnersbergkreis,Landkreis,DEB3D,DEB,Rheinland-Pfalz
Frauenhaus Landau,2332,49.19988782812,8.113401055813,Landau in der Pfalz,Kreisfreie Stadt,DEB33,DEB,Rheinland-Pfalz
Frauenhaus Neustadt,2201,49.349491832835,8.141965744074,Neustadt an der Weinstraße,Kreisfreie Stadt,DEB36,DEB,Rheinland-Pfalz
